Pressure_bar,Temperature_C,Flow_Rate_m3_h,Pipe_Age_years,Wall_Thickness_mm,Corrosion_Rate_mm_year,Soil_pH,Soil_Moisture_percent,Corrosion_Risk,Leak_Indicator,Health_Score,Risk_Score,Recommendation,RUL_Years,Status,POF,CoF,Risk_Index,Risk_Matrix
56.217808319315374,37.03364037451028,167.76755768115768,37,11.48235897382097,0.193646328466729,4.576396797414903,50.653504507517056,High,0,40,80,Immediate Maintenance,2.0,Critical,80,94.31524399919007,75.45219519935206,High
96.55000144869412,60.22356157959328,161.1404595823999,8,7.314800959129882,0.1405819203111424,7.259164989251465,68.83827106665981,Medium,0,70,60,Inspection within 30 Days,4.0,Monitor,60,155.58111606123947,93.3486696367437,Critical
81.23957592679835,81.74147933196653,457.8145612344665,7,11.813530132413488,0.1640217539378829,8.281979442238,89.3659811673085,Medium,0,70,60,Inspection within 30 Days,4.0,Monitor,60,371.9266080780132,223.1559648468079,Critical
71.90609389379256,72.59461761662148,162.29578993227773,14,14.401831912520828,0.2262581231993883,7.0284804876626055,60.33174671762553,Medium,0,70,60,Inspection within 30 Days,4.0,Monitor,60,116.70056309437597,70.02033785662559,High
40.92130483097056,77.42647461099423,172.37737675788395,3,5.467858449717685,0.2495228665424562,6.241170896750536,39.62344531530542,Medium,0,70,60,Inspection within 30 Days,4.0,Monitor,60,70.5390718027243,42.32344308163458,Medium
40.91961642353419,67.82091883619663,391.72921808808366,16,8.196520552920624,0.2120028066217733,6.600615576446513,28.09212798416948,Medium,0,70,60,Inspection within 30 Days,4.0,Monitor,60,160.29409346055354,96.17645607633213,Critical
34.06585285177396,69.9979766936604,252.382929102743,19,9.381767166663552,0.2779811667652481,5.29851523063967,79.82641873226562,High,0,40,80,Immediate Maintenance,2.0,Critical,80,85.97639725113743,68.78111780090994,High
90.63233020424546,80.19771735174575,399.5197506298316,18,13.992603589246896,0.2478939855626882,7.50217665501495,75.16521696908022,High,1,40,100,Immediate Maintenance,0.0,Critical,100,362.094059622007,362.094059622007,Critical
72.07805082202461,41.22842057584708,79.41477090397336,16,14.622614466091568,0.1729404990447603,7.485679320039396,28.71382566235079,Medium,0,70,60,Inspection within 30 Days,4.0,Monitor,60,57.24061893236033,34.34437135941619,Medium
79.56508044572318,56.812622636804136,269.40703715302294,8,9.441152464963324,0.2047077610666836,5.0820692015497,26.05056721172588,Medium,0,70,60,Inspection within 30 Days,4.0,Monitor,60,214.3539258372421,128.61235550234525,Critical
31.44091460070617,39.37861371827415,65.12612008247719,33,12.500284121421911,0.2786294003071468,8.011913529998637,67.21094214489405,High,0,40,80,Immediate Maintenance,2.0,Critical,80,20.476247797885,16.380998238308003,Low
